date,weekday,scenario_name,ad_spend_multiplier,baseline_revenue,scenario_revenue,uplift,uplift_pct,future_baseline_ad_spend,future_scenario_ad_spend,extra_ad_cost,incremental_profit_proxy,roi_proxy,lower_85,upper_85,interval_width,interval_width_pct,effective_max_interval_width_pct,growth_score,efficiency_score,balanced_score,primary_reason,secondary_reason,recommend_flag
2024-12-08,Sunday,light_push,1.25,159484.71327380132,160409.3981925427,924.6849187413754,0.5797953294457057,29392.13,36740.1625,7348.0324999999975,189.88166874137562,0.02584115798907744,137927.72490719883,181041.7016404038,43113.97673320497,0.27033297328746136,0.42000000000000004,0.17269662824440624,0.43984361735202804,0.44961017694703215,Balanced candidate,Moderate spend efficiency,True
2024-12-09,Monday,light_push,1.25,160848.1297274844,161780.71962157937,932.5898940949701,0.5797952986304551,29392.13,36740.1625,7348.0324999999975,197.78664409497026,0.026916952816277054,139291.1413608819,182405.11809408688,43113.97673320497,0.2680415172140979,0.42000000000000004,0.2270659481506876,0.4919698566283142,0.4787859970191086,High efficiency candidate,Moderate spend efficiency,True
2024-12-10,Tuesday,light_push,1.25,158657.47882928094,159577.36751142275,919.8886821418128,0.5797953484005843,29392.13,36740.1625,7348.0324999999975,185.08543214181293,0.025188434066100416,137100.49046267846,180214.46719588342,43113.97673320497,0.2717424797831093,0.42000000000000004,0.13929533594182647,0.40780328371541624,0.4317014213949093,Balanced candidate,Moderate spend efficiency,True
2024-12-12,Thursday,light_push,1.25,162401.98920516676,163343.5882474504,941.599042283633,0.5797952641417994,29392.13,36740.1625,7348.0324999999975,206.7957922836332,0.02814301546483814,140845.00083856427,183958.97757176924,43113.97673320497,0.26547690052452455,0.42000000000000004,0.28801925976868237,0.5503667722291761,0.5115319396729655,High efficiency candidate,Moderate spend efficiency,True
2024-12-13,Friday,light_push,1.25,162122.67207461738,163062.65165937808,939.979584760702,0.5797952702926547,29392.13,36740.1625,7348.0324999999975,205.17633476070216,0.027922622111524714,140565.6837080149,183679.66044121986,43113.97673320497,0.2659342840917503,0.42000000000000004,0.2771405318767008,0.5399475744532233,0.505684655513472,High efficiency candidate,Moderate spend efficiency,True
2024-12-14,Saturday,light_push,1.25,161487.22358374004,162954.76369227088,1467.5401085308404,0.9087654589403724,29392.13,36740.1625,7348.0324999999975,732.7368585308405,0.09971878302536642,139930.23521713755,183044.21195034252,43113.97673320497,0.26698072935069067,0.42000000000000004,0.7025557331990717,0.7025557331990717,0.8512778665995359,Balanced candidate,Moderate spend efficiency,True
2024-12-19,Thursday,light_push,1.25,161864.2104631072,162802.69150891207,938.4810458048596,0.57979527600313,29392.13,36740.1625,7348.0324999999975,203.67779580485978,0.027718684668972253,140307.22209650473,183421.1988297097,43113.97673320497,0.26635892276527484,0.42000000000000004,0.2670437912768711,0.530276052644247,0.5002588228089226,High efficiency candidate,Moderate spend efficiency,True
2024-12-21,Saturday,light_push,1.25,162141.07208735554,163081.1583538618,940.0862665062596,0.5797952698868158,29392.13,36740.1625,7348.0324999999975,205.28301650625974,0.027937140521120424,140584.08372075306,183698.06045395802,43113.97673320497,0.2659041054691976,0.42000000000000004,0.2778582121990269,0.5406349832347048,0.5060703674139728,High efficiency candidate,Moderate spend efficiency,True
2024-12-23,Monday,light_push,1.25,162635.4054020534,163578.35777205913,942.952370005718,0.5797952590179434,29392.13,36740.1625,7348.0324999999975,208.14912000571815,0.028327190986936736,141078.41703545093,184192.3937686559,43113.97673320497,0.26509588503574766,0.42000000000000004,0.29708430434541433,0.5590478025015028,0.5164053475514225,High efficiency candidate,Moderate spend efficiency,True
2024-12-24,Tuesday,light_push,1.25,159663.5279206002,160185.74556972992,522.2176491297141,0.32707385082296947,29392.13,36740.1625,7348.0324999999975,-212.5856008702857,-0.028930955445595236,138106.53955399772,181220.51628720268,43113.97673320497,0.27003021475665573,0.42000000000000004,-0.16312225982622974,0.30511950168084234,0.18032448054131833,High efficiency candidate,Year-end seasonal opportunity,True
