weekday,avg_uplift,avg_incremental_profit_proxy,avg_roi_proxy,recommended_days_count
Saturday,1070.5322001740933,-1317.5783623259065,-0.030190381450170084,16
Wednesday,952.4357750439958,-1435.6747874560042,-0.03789147291578872,4
Thursday,940.0400440442463,-1448.0705184557537,-0.03869980100960793,8
Monday,937.771132050344,-1450.339430449656,-0.038847757213813366,8
Friday,935.5648921418324,-1452.5456703581676,-0.038991626558815384,8
Sunday,924.6849187413754,-1463.4256437586246,-0.039701111796900404,4
Tuesday,789.0133215547539,-1599.097240945246,-0.04854828374194231,12
